dataset,arch,instance_id,layer,window_size,step,sigma_eval,mse_train_noise,mse_train_recovered,delta_train_pct,mse_test_noise,mse_test_recovered,delta_test_pct,s1_best_train_cost,timestamp,bundle_json
mackey_glass_tau17_n200,4q_3l_1t,1,1,4,2,0.2,0.019268069867485596,0.029578680599497118,-53.51138335558161,0.018957942152927745,0.027653148220737552,-45.86576959497144,0.14783169607812555,2025-09-20 23:21:15,qae_runs\mackey_glass_tau17_n200\4q_3l_1t\L1\bundle_inst01_L1.json
mackey_glass_tau17_n200,4q_3l_1t,2,1,4,2,0.2,0.019268069867485596,0.02839691702817519,-47.378109086547916,0.018957942152927745,0.025975137954760315,-37.014543800308395,0.14795110434448372,2025-09-20 23:21:19,qae_runs\mackey_glass_tau17_n200\4q_3l_1t\L1\bundle_inst02_L1.json
mackey_glass_tau17_n200,4q_3l_1t,3,1,4,2,0.2,0.019268069867485596,0.029216585248290308,-51.632132586318846,0.018957942152927745,0.029571934258987985,-55.98704764705214,0.14783308929068836,2025-09-20 23:21:22,qae_runs\mackey_glass_tau17_n200\4q_3l_1t\L1\bundle_inst03_L1.json
mackey_glass_tau17_n200,4q_3l_1t,4,1,4,2,0.2,0.019268069867485596,0.02939865784840139,-52.577077260919204,0.018957942152927745,0.027405837937478656,-44.5612488760879,0.14782955968520967,2025-09-20 23:21:25,qae_runs\mackey_glass_tau17_n200\4q_3l_1t\L1\bundle_inst04_L1.json
mackey_glass_tau17_n200,4q_3l_1t,5,1,4,2,0.2,0.019268069867485596,0.027679183467796294,-43.65311968535182,0.018957942152927745,0.025008745718965924,-31.91698506741003,0.14782978246574854,2025-09-20 23:21:28,qae_runs\mackey_glass_tau17_n200\4q_3l_1t\L1\bundle_inst05_L1.json
mackey_glass_tau17_n200,4q_3l_1t,1,3,4,2,0.2,0.019268069867485596,0.025439957968125995,-32.03168839996429,0.018957942152927745,0.02410274816665113,-27.13799827123564,0.03847864778058059,2025-09-20 23:21:33,qae_runs\mackey_glass_tau17_n200\4q_3l_1t\L3\bundle_inst01_L3.json
mackey_glass_tau17_n200,4q_3l_1t,2,3,4,2,0.2,0.019268069867485596,0.02591498498596921,-34.49704700157914,0.018957942152927745,0.024005852563844486,-26.62689004005201,0.04003560614832177,2025-09-20 23:21:39,qae_runs\mackey_glass_tau17_n200\4q_3l_1t\L3\bundle_inst02_L3.json
mackey_glass_tau17_n200,4q_3l_1t,3,3,4,2,0.2,0.019268069867485596,0.02600090834810792,-34.94298353144249,0.018957942152927745,0.023472741443813262,-23.814817317544556,0.03930268131024175,2025-09-20 23:21:45,qae_runs\mackey_glass_tau17_n200\4q_3l_1t\L3\bundle_inst03_L3.json
mackey_glass_tau17_n200,4q_3l_1t,4,3,4,2,0.2,0.019268069867485596,0.0242284837569905,-25.74421788803809,0.018957942152927745,0.02449012374223199,-29.181340172250138,0.05000223489126968,2025-09-20 23:21:50,qae_runs\mackey_glass_tau17_n200\4q_3l_1t\L3\bundle_inst04_L3.json
mackey_glass_tau17_n200,4q_3l_1t,5,3,4,2,0.2,0.019268069867485596,0.02419954878570365,-25.594047313165525,0.018957942152927745,0.024120744816975886,-27.232927616306867,0.05617317579574419,2025-09-20 23:21:56,qae_runs\mackey_glass_tau17_n200\4q_3l_1t\L3\bundle_inst05_L3.json
