dataset,arch,instance_id,layer,window_size,step,sigma_eval,mse_train_noise,mse_train_recovered,delta_train_pct,mse_test_noise,mse_test_recovered,delta_test_pct,s1_best_train_cost,timestamp,bundle_json
mackey_glass_tau17_n200,6q_4l_2t,1,1,6,2,0.2,0.019067164300121137,0.024147135697935914,-26.642511271497792,0.018957942152927745,0.023088576599096876,-21.78841148922497,0.2021636986417535,2025-09-22 05:16:49,qae_runs\mackey_glass_tau17_n200\6q_4l_2t\L1\bundle_inst01_L1.json
mackey_glass_tau17_n200,6q_4l_2t,2,1,6,2,0.2,0.019067164300121137,0.02511243820069059,-31.70515450234541,0.018957942152927745,0.02514448891593552,-32.63300791353225,0.20216367455916137,2025-09-22 05:16:52,qae_runs\mackey_glass_tau17_n200\6q_4l_2t\L1\bundle_inst02_L1.json
mackey_glass_tau17_n200,6q_4l_2t,3,1,6,2,0.2,0.019067164300121137,0.027306442899296488,-43.21187183100428,0.018957942152927745,0.027120862524500782,-43.0580508460535,0.20216368056333525,2025-09-22 05:16:56,qae_runs\mackey_glass_tau17_n200\6q_4l_2t\L1\bundle_inst03_L1.json
mackey_glass_tau17_n200,6q_4l_2t,4,1,6,2,0.2,0.019067164300121137,0.024635373913843742,-29.203134383686134,0.018957942152927745,0.023737076382408615,-25.209140269176356,0.2021647521893894,2025-09-22 05:16:59,qae_runs\mackey_glass_tau17_n200\6q_4l_2t\L1\bundle_inst04_L1.json
mackey_glass_tau17_n200,6q_4l_2t,5,1,6,2,0.2,0.019067164300121137,0.024497421465524284,-28.47962644014479,0.018957942152927745,0.024253033767587025,-27.93072988589924,0.20216365871750183,2025-09-22 05:17:02,qae_runs\mackey_glass_tau17_n200\6q_4l_2t\L1\bundle_inst05_L1.json
mackey_glass_tau17_n200,6q_4l_2t,1,3,6,2,0.2,0.019067164300121137,0.022588013241413015,-18.465509007385595,0.018957942152927745,0.022628056211012344,-19.359242835952053,0.18062325172246743,2025-09-22 05:17:08,qae_runs\mackey_glass_tau17_n200\6q_4l_2t\L3\bundle_inst01_L3.json
mackey_glass_tau17_n200,6q_4l_2t,2,3,6,2,0.2,0.019067164300121137,0.022710555890862526,-19.108198436818636,0.018957942152927745,0.022157637076926143,-16.877859939583463,0.21790742030686344,2025-09-22 05:17:14,qae_runs\mackey_glass_tau17_n200\6q_4l_2t\L3\bundle_inst02_L3.json
mackey_glass_tau17_n200,6q_4l_2t,3,3,6,2,0.2,0.019067164300121137,0.02331608260427989,-22.283954956698814,0.018957942152927745,0.02175697228713604,-14.76441963810946,0.16983915835320926,2025-09-22 05:17:20,qae_runs\mackey_glass_tau17_n200\6q_4l_2t\L3\bundle_inst03_L3.json
mackey_glass_tau17_n200,6q_4l_2t,4,3,6,2,0.2,0.019067164300121137,0.024016382186847197,-25.956759006343777,0.018957942152927745,0.023485392422869324,-23.88154913344531,0.1861758999777948,2025-09-22 05:17:26,qae_runs\mackey_glass_tau17_n200\6q_4l_2t\L3\bundle_inst04_L3.json
mackey_glass_tau17_n200,6q_4l_2t,5,3,6,2,0.2,0.019067164300121137,0.023686626178217034,-24.22731458849676,0.018957942152927745,0.023284328924029353,-22.82097253067874,0.209946131095652,2025-09-22 05:17:32,qae_runs\mackey_glass_tau17_n200\6q_4l_2t\L3\bundle_inst05_L3.json
