dataset,arch,instance_id,layer,window_size,step,sigma_eval,mse_train_noise,mse_train_recovered,delta_train_pct,mse_test_noise,mse_test_recovered,delta_test_pct,s1_best_train_cost,s3_best_train_cost,s1_time_s,s3_time_s,total_time_s,timestamp,bundle_json
mackey_glass_tau30_n200,6q_2l_4t,1,1,6,2,0.2,0.019067164300121137,0.022820478110690132,-19.68469852932011,0.01895794215292774,0.019139222462634425,-0.9562235618420845,0.25253365296267116,0.2544252176319272,80.69478004192933,212.800052333856,293.49483237578534,2025-10-03 14:13:08,qae_runs/mackey_glass_tau30_n200/6q_2l_4t/L1/bundle_inst01_L1.json
mackey_glass_tau30_n200,6q_2l_4t,2,1,6,2,0.2,0.019067164300121137,0.02280412077219747,-19.598910531507773,0.01895794215292774,0.01913906874972897,-0.955412751764606,0.2525336585351246,0.2543572576218871,78.176276500104,211.76307124993764,289.93934775004163,2025-10-03 14:13:08,qae_runs/mackey_glass_tau30_n200/6q_2l_4t/L1/bundle_inst02_L1.json
mackey_glass_tau30_n200,6q_2l_4t,3,1,6,2,0.2,0.019067164300121137,0.022813520422075056,-19.648208107852284,0.01895794215292774,0.01914018463143291,-0.9612988426437763,0.25253365089012475,0.25621159212559,79.3236890421249,212.1893173751887,291.5130064173136,2025-10-03 14:13:08,qae_runs/mackey_glass_tau30_n200/6q_2l_4t/L1/bundle_inst03_L1.json
mackey_glass_tau30_n200,6q_2l_4t,4,1,6,2,0.2,0.019067164300121137,0.0228541625953733,-19.861360796204508,0.01895794215292774,0.019112454619192237,-0.8150276280943114,0.25253365074644424,0.2535157050551702,76.71834633406252,208.21359104197472,284.93193737603724,2025-10-03 14:13:08,qae_runs/mackey_glass_tau30_n200/6q_2l_4t/L1/bundle_inst04_L1.json
mackey_glass_tau30_n200,6q_2l_4t,5,1,6,2,0.2,0.019067164300121137,0.022830901063834202,-19.739362940765947,0.01895794215292774,0.01910327586003841,-0.7666111961852851,0.2525337142486679,0.25451653732416557,77.39533783285879,206.28482087492011,283.6801587077789,2025-10-03 14:13:08,qae_runs/mackey_glass_tau30_n200/6q_2l_4t/L1/bundle_inst05_L1.json
mackey_glass_tau30_n200,6q_2l_4t,1,3,6,2,0.2,0.019067164300121137,0.02012922699276272,-5.5701134994406765,0.01895794215292774,0.016609938229528932,12.385331195011561,0.2544691037739571,0.26223808102292034,159.2641630838625,492.9136582079809,652.1778212918434,2025-10-03 14:13:08,qae_runs/mackey_glass_tau30_n200/6q_2l_4t/L3/bundle_inst01_L3.json
mackey_glass_tau30_n200,6q_2l_4t,2,3,6,2,0.2,0.019067164300121137,0.02223822586297547,-16.63100769963044,0.01895794215292774,0.017763835315646015,6.29871548108566,0.2636579861381355,0.28767113635753144,163.14457825012505,578.0933664580807,741.2379447082058,2025-10-03 14:13:08,qae_runs/mackey_glass_tau30_n200/6q_2l_4t/L3/bundle_inst02_L3.json
mackey_glass_tau30_n200,6q_2l_4t,3,3,6,2,0.2,0.019067164300121137,0.02229868154003227,-16.94807465361068,0.01895794215292774,0.017718554389954434,6.5375648526383,0.2639207584559807,0.2904061214262125,156.68523962493055,503.36624295799993,660.0514825829305,2025-10-03 14:13:08,qae_runs/mackey_glass_tau30_n200/6q_2l_4t/L3/bundle_inst03_L3.json
mackey_glass_tau30_n200,6q_2l_4t,4,3,6,2,0.2,0.019067164300121137,0.02104928340307241,-10.395458243041844,0.01895794215292774,0.01743841843513235,8.01523554369915,0.2299814922009842,0.2851026905591382,160.01587108406238,476.7482367500197,636.7641078340821,2025-10-03 14:13:08,qae_runs/mackey_glass_tau30_n200/6q_2l_4t/L3/bundle_inst04_L3.json
mackey_glass_tau30_n200,6q_2l_4t,5,3,6,2,0.2,0.019067164300121137,0.019986838559079425,-4.82334050560651,0.01895794215292774,0.01641839480304855,13.395690995327769,0.25446720021674735,0.2631669509236604,152.44044362497516,471.2809877090622,623.7214313340373,2025-10-03 14:13:08,qae_runs/mackey_glass_tau30_n200/6q_2l_4t/L3/bundle_inst05_L3.json
