dataset,arch,instance_id,layer,window_size,step,sigma_eval,mse_train_noise,mse_train_recovered,delta_train_pct,mse_test_noise,mse_test_recovered,delta_test_pct,s1_best_train_cost,timestamp,bundle_json
mackey_glass_tau17_n200,4q_2l_2t,1,1,4,2,0.2,0.019268069867485596,0.02958140620159945,-53.52552904905832,0.018957942152927745,0.027138122266967216,-43.14909312441475,0.20760183926584952,2025-09-20 23:53:17,qae_runs\mackey_glass_tau17_n200\4q_2l_2t\L1\bundle_inst01_L1.json
mackey_glass_tau17_n200,4q_2l_2t,2,1,4,2,0.2,0.019268069867485596,0.02737742011295257,-42.08698796111025,0.018957942152927745,0.024454512732540495,-28.993498003494512,0.20767857533251907,2025-09-20 23:53:20,qae_runs\mackey_glass_tau17_n200\4q_2l_2t\L1\bundle_inst02_L1.json
mackey_glass_tau17_n200,4q_2l_2t,3,1,4,2,0.2,0.019268069867485596,0.028670904240274193,-48.80008447891115,0.018957942152927745,0.02715489788416173,-43.23758172227621,0.20760343391701383,2025-09-20 23:53:23,qae_runs\mackey_glass_tau17_n200\4q_2l_2t\L1\bundle_inst03_L1.json
mackey_glass_tau17_n200,4q_2l_2t,4,1,4,2,0.2,0.019268069867485596,0.03017932241076423,-56.628674373301436,0.018957942152927745,0.027957358583240888,-47.47042879294432,0.2076017709263721,2025-09-20 23:53:26,qae_runs\mackey_glass_tau17_n200\4q_2l_2t\L1\bundle_inst04_L1.json
mackey_glass_tau17_n200,4q_2l_2t,5,1,4,2,0.2,0.019268069867485596,0.028834353532433958,-49.648375424936745,0.018957942152927745,0.02613037656015135,-37.83340169183889,0.20760178393248863,2025-09-20 23:53:29,qae_runs\mackey_glass_tau17_n200\4q_2l_2t\L1\bundle_inst05_L1.json
mackey_glass_tau17_n200,4q_2l_2t,1,3,4,2,0.2,0.019268069867485596,0.02200943277910731,-14.227491027773876,0.018957942152927745,0.019967384241645198,-5.324639565700751,0.1117692913813986,2025-09-20 23:53:34,qae_runs\mackey_glass_tau17_n200\4q_2l_2t\L3\bundle_inst01_L3.json
mackey_glass_tau17_n200,4q_2l_2t,2,3,4,2,0.2,0.019268069867485596,0.025411014330543984,-31.881472847596726,0.018957942152927745,0.02444682028282952,-28.952921607338624,0.11350222558741038,2025-09-20 23:53:40,qae_runs\mackey_glass_tau17_n200\4q_2l_2t\L3\bundle_inst02_L3.json
mackey_glass_tau17_n200,4q_2l_2t,3,3,4,2,0.2,0.019268069867485596,0.025745635475371897,-33.61813431462088,0.018957942152927745,0.022983762821039498,-21.23553619710792,0.1560465715731279,2025-09-20 23:53:45,qae_runs\mackey_glass_tau17_n200\4q_2l_2t\L3\bundle_inst03_L3.json
mackey_glass_tau17_n200,4q_2l_2t,4,3,4,2,0.2,0.019268069867485596,0.02258711094884792,-17.225602274585516,0.018957942152927745,0.02188767728336399,-15.453866811086314,0.13215512867840867,2025-09-20 23:53:50,qae_runs\mackey_glass_tau17_n200\4q_2l_2t\L3\bundle_inst04_L3.json
mackey_glass_tau17_n200,4q_2l_2t,5,3,4,2,0.2,0.019268069867485596,0.023937736493309,-24.23525894362337,0.018957942152927745,0.02392344478011206,-26.192202651158915,0.1130860411475568,2025-09-20 23:53:56,qae_runs\mackey_glass_tau17_n200\4q_2l_2t\L3\bundle_inst05_L3.json
