dataset,arch,instance_id,layer,window_size,step,sigma_eval,mse_train_noise,mse_train_recovered,delta_train_pct,mse_test_noise,mse_test_recovered,delta_test_pct,s1_best_train_cost,timestamp,bundle_json
mackey_glass_tau17_n200,4q_2l_2t,1,1,4,2,0.2,0.014725688667710806,0.011355132850727997,22.88895204183874,0.008758398398282418,0.007105544680369797,18.87164345294863,0.3407171668855887,2025-09-13 13:59:19,qae_runs/mackey_glass_tau17_n200/4q_2l_2t/L1/bundle_inst01_L1.json
mackey_glass_tau17_n200,4q_2l_2t,2,1,4,2,0.2,0.014969978852873827,0.009458919729376613,36.81407420585128,0.015052910249294433,0.011426213464508847,24.09299414347852,0.3823778399818492,2025-09-13 13:59:20,qae_runs/mackey_glass_tau17_n200/4q_2l_2t/L1/bundle_inst02_L1.json
mackey_glass_tau17_n200,4q_2l_2t,3,1,4,2,0.2,0.015503718469226779,0.012603405044947185,18.707211628206522,0.016263982629883645,0.009545400231848626,41.309576817244086,0.31496979237741257,2025-09-13 13:59:21,qae_runs/mackey_glass_tau17_n200/4q_2l_2t/L1/bundle_inst03_L1.json
mackey_glass_tau17_n200,4q_2l_2t,4,1,4,2,0.2,0.013453002095904942,0.009483217431971372,29.50854118384447,0.014491788327012757,0.01291229080845722,10.899258827920832,0.34920049741922204,2025-09-13 13:59:21,qae_runs/mackey_glass_tau17_n200/4q_2l_2t/L1/bundle_inst04_L1.json
mackey_glass_tau17_n200,4q_2l_2t,5,1,4,2,0.2,0.01125973227582885,0.008907773373278536,20.888231131385247,0.02156045891363854,0.013690850395906357,36.500190229040484,0.3149837911413689,2025-09-13 13:59:22,qae_runs/mackey_glass_tau17_n200/4q_2l_2t/L1/bundle_inst05_L1.json
mackey_glass_tau17_n200,4q_2l_2t,1,3,4,2,0.2,0.014725688667710806,0.010780482671130137,26.791317442635943,0.008758398398282418,0.006796353237648862,22.40187156841742,0.1134900291964255,2025-09-13 13:59:24,qae_runs/mackey_glass_tau17_n200/4q_2l_2t/L3/bundle_inst01_L3.json
mackey_glass_tau17_n200,4q_2l_2t,2,3,4,2,0.2,0.014969978852873827,0.009494443029478232,36.57677727677245,0.015052910249294433,0.011296789960913486,24.952784718536446,0.13579027045980147,2025-09-13 13:59:26,qae_runs/mackey_glass_tau17_n200/4q_2l_2t/L3/bundle_inst02_L3.json
mackey_glass_tau17_n200,4q_2l_2t,3,3,4,2,0.2,0.015503718469226779,0.012702393002433615,18.068732816282072,0.016263982629883645,0.009041909183481868,44.4053194764968,0.16603866064363518,2025-09-13 13:59:28,qae_runs/mackey_glass_tau17_n200/4q_2l_2t/L3/bundle_inst03_L3.json
mackey_glass_tau17_n200,4q_2l_2t,4,3,4,2,0.2,0.013453002095904942,0.009407121479552976,30.074184092958113,0.014491788327012757,0.012803351086808261,11.650992976879483,0.16201153194759998,2025-09-13 13:59:31,qae_runs/mackey_glass_tau17_n200/4q_2l_2t/L3/bundle_inst04_L3.json
mackey_glass_tau17_n200,4q_2l_2t,5,3,4,2,0.2,0.01125973227582885,0.008282616665671776,26.440376531403132,0.02156045891363854,0.012678058234243419,41.19764201204625,0.153181977979849,2025-09-13 13:59:32,qae_runs/mackey_glass_tau17_n200/4q_2l_2t/L3/bundle_inst05_L3.json
