filename,run_tag,dataset_folder,instance_id,rng_seed,n_qubits,n_latent,n_trash,n_layers,sigma_train,sigma_eval,window_stride,s1_lr_init,s1_max_epochs,s1_patience,s1_lr_patience,s1_best_val,s1_final_val,s1_best_epoch,s1_epochs,s1_train_seconds,s3_lr_init,s3_max_epochs,s3_patience,s3_plateau_steps,s3_plateau_factor,s3_best_val_mse,s3_final_val_mse,s3_best_epoch,s3_epochs,s3_train_seconds,s3_noisy_baseline_mse,s3_best_delta_pct,s3_final_delta_pct,phi_params,psi_params,total_train_seconds
4q_2l_2t_1ls_01.json,inst1_L1,mackey_glass_tau30_n200,1,1,4,2,2,1,0.2,0.2,1,0.01,120,10,8,0.26891901,0.27686832,49,60,51.12647819519043,0.003,60,10,5,0.5,0.00988679,0.00996426,10,21,64.83413100242615,0.0138465877272745,28.59762774396947,28.038128017227272,"[-0.016312803262711447, -1.986552627047903, 0.19790118569502319, -5.493062168638753e-06, -2.111573461125485, -0.37475243772350736, 1.4336461632515996e-05, -2.0203361705868677, -0.256649722681857, -0.006324302833860464, -1.7534565214098514, -0.42194592353061183]","[0.004653935659031972, -2.0253661313694864, -0.49732671772786985, -0.004450664876066317, -2.1879426793450683, 0.3790724938319771, -0.0043535317514086175, -2.095362444839994, 0.47885733854536494, 0.017740377158384654, -1.975611356407822, -1.0022602262344675]",115.96060919761658
4q_2l_2t_1ls_02.json,inst2_L1,mackey_glass_tau30_n200,2,2,4,2,2,1,0.2,0.2,1,0.01,120,10,8,0.26414585,0.27603204,54,65,55.0988872051239,0.003,60,10,5,0.5,0.00967265,0.00979903,12,23,72.58008193969727,0.0138465877272745,30.144129316774936,29.23141903660136,"[0.011801558810262056, -1.9347410256049633, 0.06513407907304976, -0.016630776059219487, -2.070080100211368, 0.03256562414933165, 0.00011602347368047367, -1.9433096993056338, 1.0658141385924789, -1.72784959880731e-05, -1.9363263640619017, -0.6136759059679902]","[0.02414285247762957, -2.0094330925634307, -0.6487629461242551, 0.01654759269015747, -2.1630365855750076, -0.798991020163409, 0.03842538243161406, -2.146276998122281, 0.26204818987709244, 0.02177724426225013, -2.0603464859303524, -1.3117505289119176]",127.67896914482117
4q_2l_2t_1ls_03.json,inst3_L1,mackey_glass_tau30_n200,3,3,4,2,2,1,0.2,0.2,1,0.01,120,10,8,0.27417998,0.27751538,37,48,39.81745004653931,0.003,60,10,5,0.5,0.00971535,0.00974393,27,38,116.46518015861513,0.0138465877272745,29.835795541502296,29.629362641805557,"[0.00028094502693164604, 1.096912804007125, 0.6113810031478083, -0.01427106325614309, -2.2121912358576714, 0.13492093596558696, -0.0006334092315501732, 1.0177477806040347, 0.2036532809083238, 0.6429273226417136, -1.8895237857522311, -0.08964450142759879]","[0.015007652271541886, 1.0230249899218355, 1.3675992631300213, -0.010226762138745698, -2.2749727271861735, 0.9673789251789637, 0.018782685190003322, 0.9040672246074882, 1.027041924999442, 0.17136873697421887, -2.112011538690682, -0.32373112687325384]",156.28263020515442
4q_2l_2t_1ls_04.json,inst4_L1,mackey_glass_tau30_n200,4,4,4,2,2,1,0.2,0.2,1,0.01,120,10,8,0.2713419,0.27753492,50,61,49.764519929885864,0.003,60,10,5,0.5,0.00985101,0.00989762,23,34,105.54185390472412,0.0138465877272745,28.856028021820368,28.51940987883873,"[0.03214672941676667, -2.0208978324444513, -0.14721197348436185, -2.8791150735982713e-06, -2.145170337986928, 1.015439904663256, 0.00012119905641939764, -2.0323199786044053, -0.2654686618966631, -0.003998588724767233, -1.7318145259046709, -0.5628706735483558]","[-0.019716129742746204, -2.1269129615096083, 0.6445959831070989, 0.03772349578162357, -2.221572437854883, 0.13029477324311514, 0.030963980973160738, -2.175607141355496, -1.103881459107216, -0.1582033686436235, -2.060793649573243, 0.3000659993077101]",155.30637383461
4q_2l_2t_1ls_05.json,inst5_L1,mackey_glass_tau30_n200,5,5,4,2,2,1,0.2,0.2,1,0.01,120,10,8,0.26288613,0.27535098,47,58,47.01740574836731,0.003,60,10,5,0.5,0.00972584,0.00987402,21,32,103.15675711631776,0.0138465877272745,29.760032967198725,28.689862020442018,"[0.00033290752957749667, -1.9049135233050598, 0.05729162639650853, -7.896336785221858e-05, -2.0344861213348673, -0.2765396413301571, -0.16919935463955074, -2.004766538574572, 0.10715892945013854, -0.03433224437146093, -1.924802163235988, 0.03741550390403182]","[0.029558322431367485, -2.0536424211010313, -0.6880152528893796, -0.03418878941097454, -2.2308752929630713, 0.5830661282779788, -0.03772855421522997, -2.14679752451985, 0.755353063802126, -0.10342206736106183, -2.087589921255918, 0.8257486213751707]",150.17416286468506
4q_2l_2t_3ls_01.json,inst1_L3,mackey_glass_tau30_n200,1,1,4,2,2,3,0.2,0.2,1,0.01,120,10,8,0.0898206,0.09014492,65,76,158.3819682598114,0.003,60,10,5,0.5,0.00934338,0.00951943,12,23,177.69840693473816,0.0138465877272745,32.52215799840242,31.250727485631636,"[1.2278353250797251, -0.029796534519642336, -0.16641667037583238, -0.4002764710037087, -0.18586821581700963, 0.1398361456718513, 0.7206339826515554, 0.7725998967340723, -1.7386140969847441, 0.8317284641980954, -0.12748466135125144, -1.6938568337112596, -0.6022899579837576, 1.5063052011592981, 0.5108765032863897, -0.9508264837175725, -0.9127113967982384, -0.40370432407679074, 1.3773279096228548, 0.48274141753014405, 0.0008580279851202611, -0.06702019328900571, -0.9389539842446958, -0.18402044572335577, 0.028723960828403682, 0.05034035659618393, -0.07772435802071416, -0.3976945206961146, 0.6348302133320367, -0.5854733077318112, -0.22304983388733726, -0.7880599064117612, 0.07114018805397654, -0.09729636272067338, -0.22964074745129534, -0.04339401095369404]","[1.3993129974539795, -0.02034789510104483, -0.1953767939875017, -0.24478600743977297, -0.2085335394348681, 0.17695365104236313, 0.636861457206048, 0.7440714353495459, -1.7511904689997435, 0.7010332771243677, -0.14922518402510873, -1.742709246004158, -0.7386807145800844, 1.5204595884292165, 0.7739543687746685, -1.0145933105919884, -1.0174807355302806, -0.4576803272912118, 1.403801665783955, 0.3349480070543796, -0.007064946114590823, -0.10579276498100329, -0.6508322979726332, -0.12253415969185703, -9.454988662342236e-05, 0.028120746824806215, -0.1590880351333807, -0.26801442852663826, 0.40976437659484216, -0.8198537640861265, -0.2684561726637918, -1.0685154679144528, 0.31931275536115156, -0.07346907734353374, -0.13520265791214267, -0.8741447345436986]",336.08037519454956
4q_2l_2t_3ls_02.json,inst2_L3,mackey_glass_tau30_n200,2,2,4,2,2,3,0.2,0.2,1,0.01,120,10,8,0.08572902,0.08616206,63,74,166.14067125320437,0.003,60,10,5,0.5,0.00893749,0.00906623,16,27,219.7248158454895,0.0138465877272745,35.45348087983952,34.52372911727702,"[-0.0043693490827218075, -0.05240699121450067, -1.535723849640771, -1.550786531635288, 0.02482799301505872, -1.434487078683855, 0.06194450444397677, -0.07764299894432136, 1.560224062226423, 0.1329635496120872, -0.45527584427291856, -0.08720208739133264, -0.06740774226157792, 0.0423292164751671, -0.019348819989460614, -0.3830458424378199, -1.3802278834748412, 0.07391835385135954, 0.24918714210511148, -0.9380244845155808, 0.02100233100077655, -0.6166660674355934, -0.12377577423451508, 0.9900449378149234, 0.46693538548487085, -1.574164782621457, -0.18234228335734173, -0.017904849716639037, -0.6231713701698954, -0.23625655844485036, 0.17924018913911868, -1.5814379364373403, 0.1581688102669087, -0.07158050774468555, 0.02094527332689376, 0.25767520236112684]","[-0.004682019395181499, 0.011726924508950902, -1.6040811753187028, -1.5566411271507012, -0.017545884358266758, -1.3872907857418495, 0.028930262549238937, -0.06385059093307502, 1.5549153785989926, 0.045205743897677196, -0.52495952983435, -0.019438544146843283, -0.04146687451033826, 0.04248804143356901, -0.014864877770589384, -0.2845674886900335, -1.431495363769683, 0.08716253479974019, 0.2735512451419944, -0.6216911159064424, 0.04377853470224364, -0.43061920435257744, 0.01213512227863507, 1.2176202304021684, 0.5688582713601494, -1.5729456143042264, -0.05298231921859365, 0.008119921002700543, -0.35814531819299333, -0.1983400122213252, 0.23842627573981057, -1.5830957093683926, 0.10640094372528955, -0.042981105779166015, 0.014894659623803182, 1.2087098731076749]",385.86548709869385
4q_2l_2t_3ls_03.json,inst3_L3,mackey_glass_tau30_n200,3,3,4,2,2,3,0.2,0.2,1,0.01,120,10,8,0.06915469,0.06958714,99,110,242.07492518424988,0.003,60,10,5,0.5,0.01002084,0.01008934,20,31,249.04730582237244,0.0138465877272745,27.629534403662586,27.134849899020697,"[0.7862941374481595, 1.4073252568117587, 0.7808420729832934, -0.0031332508957931807, -0.1653570386658625, 1.516181829718147, -0.1602006647537478, 1.5056732420079983, -0.15512391542549026, -1.5746108908986567, 0.03324435746887529, 0.08758161373889588, -0.26802453143091576, -0.7325667940265341, -0.12637187973635422, -0.24011939338805485, -0.08633066191054241, -0.094147796224791, 0.03978787968798326, -1.2388619611981821, -0.021865530375063023, -0.07400936442305205, 0.5297094437974591, -0.19362492946444493, -1.5777488290312303, -0.9095247355233702, -0.15674793983783683, -0.014654592267338314, -0.7731443031983054, -0.48237324147372185, 1.1954434071621407, -1.5419197828020537, 0.763100004129182, 1.2953037124441886, 0.0019121164870178628, 0.09172979725706476]","[0.8407786622971607, 1.5477164981938103, 0.8411430212107397, -0.04178147961737726, -0.21589457560012323, 1.5661788740668607, -0.10393901126135957, 1.4895703247040346, -0.130845846546907, -1.5558620753180443, -0.008128636446350408, 0.13312440159444616, -0.24580532725979337, -0.6512442545511768, -0.09354632154788044, -0.13986768399593413, -0.007896562013141185, -0.008381524598180756, -0.0010809583665761131, -1.2637362783229755, 0.002834134724531523, -0.043480015028475254, 0.5078462591642806, -0.13795001966902057, -1.5675777753191347, -0.8421596602549474, -0.5550929897349778, -0.07303785971740287, -0.7600740610626953, -0.8718571251500853, 1.321508486247602, -1.5419683984104857, 0.9995963404070355, 1.282604159553863, 0.003378109442828546, 1.0251554498238575]",491.1222310066223
4q_2l_2t_3ls_04.json,inst4_L3,mackey_glass_tau30_n200,4,4,4,2,2,3,0.2,0.2,1,0.01,120,10,8,0.11096529,0.11113008,93,104,226.1680839061737,0.003,60,10,5,0.5,0.0092507,0.00926045,24,35,277.54070019721985,0.0138465877272745,33.191473446724295,33.12109421164359,"[0.007009495854836537, -0.027214479629045413, 1.5519165727068627, 1.5680553399946475, -0.0052382963469907, 1.5540023346391152, -0.007659444700139663, 1.117706689951113, -1.5979680397516118, 0.05550397342794997, 1.0470284928140214, -1.1476229508015212, 0.48942075570635757, 0.8627424304267947, -0.18622506510515033, 0.24254087810044495, 0.15074824978350188, -0.5055308462409862, -1.5085230751728913, -1.3974525958737787, -0.1447000021201938, 0.001703265207275764, 0.05713942826930609, -1.613753325349357, -0.03734551320476185, -0.21726688624918414, -0.009855758771326262, 0.014951663551971951, -0.003390324104404797, 0.27717663641740764, -0.0018364697855932457, -0.2548240828475708, -0.45732107545760886, -1.5639489790308834, -0.01099831916053006, 0.3628808165965907]","[0.038188889968790274, -0.05859270351253336, 1.5621484341870302, 1.6205461529391674, 0.024312718958278533, 1.5234862888777938, 0.014777304816073276, 1.0621729845124577, -1.4932456658962519, 0.06147377966053769, 1.0164865690998894, -0.9592786702974198, 0.6178392793014765, 0.6297754265063137, -0.09194541761513007, 0.15049564160907766, 0.08543828245312046, -0.65681623373553, -1.218346757023191, -1.5158065193049484, 0.043014614904285195, 0.0032599206827798825, 0.07640448713142585, -1.582339562913863, 0.03243527463046415, -0.10026803650251252, -0.5618603829912101, 0.028317393036850068, 0.0040653652119644855, 0.35378477128858765, 0.0004949375872375287, -0.09281759508059903, -0.3235363263094148, -1.5716942459578473, -0.011896749280144484, 1.3283587448708138]",503.7087841033935
4q_2l_2t_3ls_05.json,inst5_L3,mackey_glass_tau30_n200,5,5,4,2,2,3,0.2,0.2,1,0.01,120,10,8,0.05008389,0.05049226,99,110,233.58689403533936,0.003,60,10,5,0.5,0.00979451,0.00985318,6,17,135.29331612586975,0.0138465877272745,29.264122074072606,28.840394668666647,"[1.5714525489700095, -0.008458921277344641, 1.4925530686026987, -0.0004806242309018126, -0.1032259033285515, -1.5574152098001974, -0.48738345192623267, 1.4787967976050223, -0.4945384713616745, -0.07635542088223556, 1.0542412268747234, -1.666442220417549, -1.0546991778587684, 1.5643211976508518, -1.8957980563960182, -0.08194951910269235, 0.3069730930686585, -0.6665448484362366, 0.5907705812329975, 1.5388665810530715, 1.1518648957079434, -0.00026298137072589434, -0.020888101568312112, 0.033005064638349915, -1.2439499988600595, -0.6421150285025271, 0.4793674756877964, 0.0019175846621958142, -0.35941976749857135, -0.03819208339044667, 0.26215906529348654, 1.5527181143868989, 0.46721688672694894, 1.5370348431308387, 0.0009481203916329203, -0.11977733486350067]","[1.5928106508978992, -0.0319637609603955, 1.4663923195976882, 0.008164319620331371, -0.10907164302641043, -1.5175313296267419, -0.45982435261617133, 1.4986637387115722, -0.46557375948243696, -0.05092207706039455, 1.1050648303973079, -1.6273846602290474, -1.0800884368926391, 1.5581243517688144, -1.9621413892130504, -0.12294219120188292, 0.29126165961460543, -0.709245273975102, 0.6698969724658645, 1.5338774151926597, 1.1514264627627768, -0.0009884372574986775, -0.054530622020368916, 0.0280785492492127, -1.353042394060066, -0.5375433037131242, 0.2288124476787716, 0.004668842152465798, -0.37407847247476117, 0.33165222844111975, 0.4626416983920106, 1.5801327090862194, 0.29396502562224053, 1.5382231775365367, 0.0018975861083162266, -0.9815818399311378]",368.8802101612091
