dataset,arch,instance_id,layer,window_size,step,sigma_eval,mse_train_noise,mse_train_recovered,delta_train_pct,mse_test_noise,mse_test_recovered,delta_test_pct,s1_best_train_cost,timestamp,bundle_json
mackey_glass_tau30_n200,4q_2l_2t,1,1,4,2,0.2,0.019268069867485593,0.025780722510243572,-33.800233689976,0.018957942152927745,0.024722906141597747,-30.409228713569505,0.3260751911893905,2025-09-14 15:44:24,qae_runs/mackey_glass_tau30_n200/4q_2l_2t/L1/bundle_inst01_L1.json
mackey_glass_tau30_n200,4q_2l_2t,2,1,4,2,0.2,0.019268069867485593,0.024991405069818708,-29.703728716445575,0.018957942152927745,0.023828385578574023,-25.69078113203398,0.34027313523757263,2025-09-14 15:44:25,qae_runs/mackey_glass_tau30_n200/4q_2l_2t/L1/bundle_inst02_L1.json
mackey_glass_tau30_n200,4q_2l_2t,3,1,4,2,0.2,0.019268069867485593,0.022257962390413825,-15.517343166653163,0.018957942152927745,0.020081542996137364,-5.926808058310784,0.29436413124876254,2025-09-14 15:44:25,qae_runs/mackey_glass_tau30_n200/4q_2l_2t/L1/bundle_inst03_L1.json
mackey_glass_tau30_n200,4q_2l_2t,4,1,4,2,0.2,0.019268069867485593,0.026402010098518846,-37.02467491604651,0.018957942152927745,0.0254738443597709,-34.37030324431536,0.3292429561190589,2025-09-14 15:44:26,qae_runs/mackey_glass_tau30_n200/4q_2l_2t/L1/bundle_inst04_L1.json
mackey_glass_tau30_n200,4q_2l_2t,5,1,4,2,0.2,0.019268069867485593,0.023414803264091056,-21.52127029393316,0.018957942152927745,0.021782335498746506,-14.898206371953604,0.30868052943483676,2025-09-14 15:44:26,qae_runs/mackey_glass_tau30_n200/4q_2l_2t/L1/bundle_inst05_L1.json
mackey_glass_tau30_n200,4q_2l_2t,1,3,4,2,0.2,0.019268069867485593,0.013668511395246486,29.061335726668858,0.018957942152927745,0.012264594262180257,35.30629979116067,0.10430571504705868,2025-09-14 15:44:27,qae_runs/mackey_glass_tau30_n200/4q_2l_2t/L3/bundle_inst01_L3.json
mackey_glass_tau30_n200,4q_2l_2t,2,3,4,2,0.2,0.019268069867485593,0.013823063578668898,28.259220182738765,0.018957942152927745,0.010830526515159027,42.87076926497305,0.11276440241407237,2025-09-14 15:44:29,qae_runs/mackey_glass_tau30_n200/4q_2l_2t/L3/bundle_inst02_L3.json
mackey_glass_tau30_n200,4q_2l_2t,3,3,4,2,0.2,0.019268069867485593,0.017505058283496026,9.149912763003865,0.018957942152927745,0.015925673142269774,15.994716020323374,0.15673479500906037,2025-09-14 15:44:30,qae_runs/mackey_glass_tau30_n200/4q_2l_2t/L3/bundle_inst03_L3.json
mackey_glass_tau30_n200,4q_2l_2t,4,3,4,2,0.2,0.019268069867485593,0.017736709889014313,7.947656350651977,0.018957942152927745,0.015187423693394956,19.888859397909354,0.13760873114292652,2025-09-14 15:44:31,qae_runs/mackey_glass_tau30_n200/4q_2l_2t/L3/bundle_inst04_L3.json
mackey_glass_tau30_n200,4q_2l_2t,5,3,4,2,0.2,0.019268069867485593,0.013785721994341093,28.453020519693204,0.018957942152927745,0.01175286154173091,38.005605002250356,0.1254057903359748,2025-09-14 15:44:33,qae_runs/mackey_glass_tau30_n200/4q_2l_2t/L3/bundle_inst05_L3.json
