filename,run_tag,dataset_folder,instance_id,rng_seed,n_qubits,n_latent,n_trash,n_layers,sigma_train,sigma_eval,window_stride,s1_lr_init,s1_max_epochs,s1_patience,s1_lr_patience,s1_best_val,s1_final_val,s1_best_epoch,s1_epochs,s1_train_seconds,s3_lr_init,s3_max_epochs,s3_patience,s3_plateau_steps,s3_plateau_factor,s3_best_val_mse,s3_final_val_mse,s3_best_epoch,s3_epochs,s3_train_seconds,s3_noisy_baseline_mse,s3_best_delta_pct,s3_final_delta_pct,phi_params,psi_params,total_train_seconds
6q_2l_4t_1ls_01.json,inst1_L1,MG_bench,1,10023,6,2,4,1,0.1,0.1,1,0.0,0,0,0,,,-1,0,,0.5,120,0,0,1.0,0.010683,0.01105462,67,120,170.20293521881104,0.0006993540451491,-1427.5519784173948,-1480.690390785202,[],"[0.22976100605673858, -1.1985052450686835, 0.27318408859864846, -0.022975670204147296, -1.269347266695026, 0.004709712012487921, 0.03802870576727528, -1.2367644688141768, 0.02712265062769918, 0.08621468566419288, -0.7609895465278046, 0.2817513309970779, -0.07778884343740221, -0.4759199264140801, 0.07792492546837664, 0.7151971560214444, -0.3367141654737573, 0.20730638181154287, 0.20707147506678555, -0.005796363847481665, 0.2028009818241264, 0.2657974765154154, 0.13629270806515043, 0.022715250061195798, 0.27425337063513605, 0.43041122991469283, 0.16906226804387464, 0.26429610192948777, 0.9993378057572854, 0.1720311738591376, 0.08292638157199123, 0.9856272936515601, 0.21088146869123894, 0.09623490350006986, 1.0043795000377527, 0.14301587513014313]",170.20293521881104
6q_2l_4t_1ls_02.json,inst2_L1,MG_bench,2,10024,6,2,4,1,0.1,0.1,1,0.0,0,0,0,,,-1,0,,0.5,120,0,0,1.0,0.01061325,0.01120647,70,120,169.80798745155334,0.0006993540451491,-1417.579041243225,-1502.4036788264282,[],"[0.2007080071420754, -1.167708547951655, 0.05874891845451436, -0.022396911859220544, -1.214079140502586, 0.007153432165203999, 0.0032941379719498435, -1.1906455742540962, 0.19241098753198052, -0.08900693736487846, -0.7349980340463654, 0.014713769098437588, -0.31637143286945274, -0.5116007590202577, 0.1299627759160319, -0.5293354573542552, -0.30326201803650166, 0.2668281412716835, 0.30714994103241655, -0.024950655742468613, 0.06771842548414066, 0.24580426608968745, -0.20309724144889363, 0.12351626707907667, 0.007581660196701604, 0.4475921226774871, 0.02036561662186935, 0.023328801311198126, 0.9870687864675404, 0.12855352355306748, 0.2525827362286798, 0.9923864718221914, 0.01892316348886967, 0.06596777754002918, 0.9830283929578975, 0.06084931784888382]",169.80798745155334
6q_2l_4t_1ls_03.json,inst3_L1,MG_bench,3,10025,6,2,4,1,0.1,0.1,1,0.0,0,0,0,,,-1,0,,0.5,120,0,0,1.0,0.01040677,0.01089556,90,120,169.62309765815735,0.0006993540451491,-1388.0553005059032,-1457.9456281538226,[],"[0.13422469614531118, -1.1786573317321722, 0.17394272038228195, -0.013022109870574934, -1.2421369268311238, 0.24977991244247877, 0.04566311386960189, -1.1994956704590007, 0.23214443420712952, -0.05905873215277081, -0.7727296574118342, 0.2966243251585464, 0.4958028849595436, -0.5026870336080435, 0.14803150630017164, 0.07524323166671733, -0.2830760391265406, 0.13617820816866888, 0.12503879968308879, -0.00924216477069861, 0.2988066568216868, 0.13869874254779907, 0.1555135147032739, 0.27742287695175427, 0.20878544265835364, 0.4921970462890192, 0.22485989803859818, 0.004466010966508294, 1.000245972117617, 0.23571526664171727, 0.07889068970576534, 0.9976676406753997, 0.2600341437842154, 0.048066536216691325, 0.9934415763666145, 0.1267618579123053]",169.62309765815735
6q_2l_4t_1ls_04.json,inst4_L1,MG_bench,4,10026,6,2,4,1,0.1,0.1,1,0.0,0,0,0,,,-1,0,,0.5,120,0,0,1.0,0.01058497,0.01109561,86,120,169.41673851013184,0.0006993540451491,-1413.535049426274,-1486.551020303049,[],"[0.2695030135657405, -1.1854043325948007, 0.27642503062402807, -0.001879150517557506, -1.2182590393531687, 0.14766508682671034, -0.03311436151379599, -1.223132072100917, 0.15111159785350112, 0.007087324608218131, -0.7056000242313869, 0.05852561805006833, -0.15163284117020018, -0.4777131225876465, 0.08826361186297231, 0.6969561463288223, -0.33064885908374564, 0.1965115345804537, 0.26426757105683185, -0.003196551986055921, 0.13489590112716174, 0.11212425122935757, 0.10534979937695223, 0.2685378385165837, 0.07296114249846779, 0.472366704469838, 0.2876953007517517, 0.2934018066820325, 0.9942082634511269, 0.2735437065954649, 0.0847662860777677, 0.9912497433048416, 0.23743782646068717, 0.056289400556169975, 0.9893942014738828, 0.004053816150269101]",169.41673851013184
6q_2l_4t_1ls_05.json,inst5_L1,MG_bench,5,10027,6,2,4,1,0.1,0.1,1,0.0,0,0,0,,,-1,0,,0.5,120,0,0,1.0,0.01056835,0.0116938,113,120,171.10217475891113,0.0006993540451491,-1411.15860556574,-1572.0858690369364,[],"[-0.4449015214437673, -1.2299117776563318, 0.3016927186432018, 0.03932939812688259, -1.2773897463982566, 0.05620192943393495, 0.0017958417095459873, -1.188036897691706, 0.30886638170142094, 0.016510764474067432, -0.7811791347792263, 0.000978176482756281, -0.05587930720989198, -0.4627891056148793, 0.048258048369900663, -0.025366734915486272, -0.2294257329583459, 0.18267182327729886, 0.18492204464261758, -0.016869787906484766, 0.15697890134872297, 0.011833563164438513, -0.0021755072803281593, 0.070244025271307, 0.020116288044364702, 0.18303257042474483, 0.21004512681171453, 0.05849132161459383, 0.9979369999684891, 0.3011728848717665, 0.20860216632746006, 0.9959449881201531, 0.3089819454194529, 0.16196839565160684, 0.9939992755107763, 0.13298234181698365]",171.10217475891113
6q_2l_4t_3ls_01.json,inst1_L3,MG_bench,1,10023,6,2,4,3,0.1,0.1,1,0.0,0,0,0,,,-1,0,,0.5,120,0,0,1.0,0.00662714,0.00993433,78,120,432.3731954097748,0.0006993540451491,-847.6085574097556,-1320.500588519215,[],"[0.00885459507638057, 0.5250682424731986, 6.438418782870507, -0.353343077049951, -1.1539813129840755, 0.6163371080054012, 0.0029535124129055398, -0.9894840684620192, 3.086550829039447, 0.12795324456911214, -1.4467629200767849, 1.9436754672053944, 1.367685977947563, 3.2141324935968854, 1.447252875131451, -0.05694987024667125, -0.3803397575667305, 1.3589829544859835, 0.7467744292173888, -0.615780544169606, 4.020012340534179, 3.54880737653655, -0.024121519172783525, 2.3253469128722037, 6.144556885010926, 0.20149603956212495, 5.038286289651291, 4.504323148818746, -0.5621680717537431, 2.253337259373279, 1.5585213321529612, -0.45046080401385685, 3.093115624755541, 1.9195790602732261, 1.76379220613849, 0.024746553593168744, 2.477015985787713, -0.5367548007843386, 3.0433171440931313, 3.951204998360391, 2.777879026953519, 2.2673181642403217, 0.08785492541285134, 0.29971189265891807, 0.14097918560140915, 0.6401246256733252, 0.2214954294560897, 4.393819369103203, -0.6981987354904994, -0.052152512681955726, 0.9353280961965258, 0.25551689144919526, 0.17165621013013205, 0.30457411609964335, 0.3012741044979625, -0.3060195101803319, -1.263067000495061, 0.10890521762041577, -0.6940924138570133, 5.939920425432718, 0.17450563821674703, 0.01317366921683887, -0.5224719214848734, 0.3063236669409317, -0.6518727482586714, -4.339578152947497, 0.30280432427090526, -0.010045983357246244, -2.831574655220408, 0.11735039287563902, 0.03387692184705159, -3.5074232308590494, 0.8397389233108867, -0.20106622398354865, -2.1619777329662715, 3.4748558337735305, -0.012222822329300454, -0.6181258998408367, 1.2101454406895222, -0.021261818934983037, 2.9597907328328197, 1.7125535734868766, 0.013879438564662606, 3.232852783707787, 0.1196188177415994, 0.016028768350618155, 1.8773765610174789, -3.0056930747790225, -0.38860165750937375, -2.8023049660756207, 2.023372484535948, 0.026663411579142347, -4.161920464710223, 1.0577418106416188, -0.6765306082150238, -0.42128944763642834, -2.7949647465194314, 0.040603632321389034, 0.2294089672483513, -5.745459996931329, 0.0030321522794901383, -4.026312230304228, 1.6891346887218168, 0.49944268165255756, -0.6224138953182927, 2.3224003188163467, 0.04484065989577209, 0.22150725762773796]",432.3731954097748
6q_2l_4t_3ls_02.json,inst2_L3,MG_bench,2,10024,6,2,4,3,0.1,0.1,1,0.0,0,0,0,,,-1,0,,0.5,120,0,0,1.0,0.00671584,0.00767095,113,120,431.6329872608185,0.0006993540451491,-860.2916496304381,-996.8625627822864,[],"[-4.52453619076036, 0.9995727786031459, -3.647282909460072, 0.26023654934961454, -0.5185577906014276, -2.6300632297755464, -0.008010373390057977, -0.9826139181623359, 2.6069959933787694, -0.011173865369072424, -1.1780923753306278, -1.476342079277931, 0.5575572125457209, 0.8348701018718651, -0.17004883841176585, -0.039204634336242494, -0.7168589886267247, -0.4329154983245563, -1.1943958691926755, -0.6763427970275826, 1.5094709360679284, 1.4883492795545021, 0.04148917270031856, -1.93892494557253, -4.428280644510239, 0.39914418800500145, -3.48373371347315, -0.4615587301030175, -0.01587854170999828, -0.4113134576486376, 0.7626926286387103, 0.03433577233019751, -0.5690594811823415, -3.0349849245092426, -4.7434516084727205, -0.42222177417289664, -1.1922204088584458, -1.4827784948699763, 0.10539190375471032, 0.29717623021664, 1.5460658803519043, 0.6922362909157812, 0.12904923559403064, 0.30755692234970494, 0.2985809596220001, -1.2457000684130999, -0.009681429489278047, 4.346767444537233, 0.6471496656130378, 0.056516545620681154, 3.398115810493007, 0.1272528387119612, 0.1425175656212167, 0.06217905672763769, 0.1566331788380519, 0.004495052766285823, 2.469916088564808, 0.20635653537378307, 0.4883892843546385, 0.1753227759513194, 0.09381098759996873, 0.0010822836117742865, 2.9937392393654103, 0.2107935758252651, -0.4419835693366552, -0.005162315914607609, 0.04039160890647807, 0.0007325212981050895, 4.10187596130886, 0.2526709094891427, 0.01617568576370148, 2.390067032121568, 0.07519679049964502, 0.14284909152226138, -3.439323471419274, -0.9195848329977927, -0.00045056068228828254, 0.03147624799670261, -0.3097910398463677, 0.0015734743298274861, 0.6678600681090768, -0.8413269576238717, -0.0008447647892363523, -3.777801417904253, -0.12493648486629984, 0.002345340407549183, -0.9078601995758879, -0.13662072116609178, -0.23443362234784423, 2.05524472134641, -0.565612170578593, 0.0010075061654158729, -3.945509878324312, 0.8876704352143687, -0.7799311827571488, -3.017602774465587, -4.787794794586369, 0.007513138678823645, 0.07119022841879401, 1.026210948669064, 0.00027673752781284095, -4.0565997841291965, -3.8021069736312896, -0.592659750163086, -2.7947321091606097, 2.819881685966705, -0.02017141996547707, 0.01612278120868209]",431.6329872608185
6q_2l_4t_3ls_03.json,inst3_L3,MG_bench,3,10025,6,2,4,3,0.1,0.1,1,0.0,0,0,0,,,-1,0,,0.5,120,0,0,1.0,0.00746773,0.00841664,87,120,428.7982189655304,0.0006993540451491,-967.8044036727124,-1103.4883875887388,[],"[-2.8041039602475974, 0.04297682080744529, 0.02276691129435328, 0.011518374574454468, -0.7433501959159723, 1.8026847661387992, 0.03832810731497731, -1.1710511624187185, -0.8205928350785573, -0.2266230790979737, -1.4293032767850387, 1.0429574869904479, 1.8265400395470992, 2.7026624265363166, 1.8238836937920535, -0.8720365467099385, -0.12510032990230704, 2.3062492772909193, 1.371781908570858, 0.030217692772172646, 4.757339473452147, 3.4690180705509652, -0.1157376684242266, 0.9829773315578471, 2.196020152665512, -0.10011139306318595, 0.31472019376033866, 1.742635860865326, 0.8668184316902555, -0.0221159070103255, 1.5996964845054058, -0.7119350174301806, -1.3533086001702013, 3.255229902341296, -2.1417409757122656, 0.009636177680941146, -1.2074678473451441, -4.454650437329471, -0.24822822285282126, 1.1222439743437231, 3.0413596689765945, 2.4927200307233472, 0.2792117260048448, 0.031156550475077958, 0.026396077243757428, -1.6161929672956954, 0.07037407520296533, -2.199379019413181, -0.48490682294273096, 0.06888206548104814, -0.7802743340780528, 0.0680458445198698, 0.00023184563079701337, 0.13699048201103747, 0.19378083421059752, -0.11212857269318163, 2.476157508072085, 0.06721157092692451, -0.8388915834755721, -1.5415240619411028, 0.21128464058741142, 0.02680153425488373, -2.087955778498581, 0.14077126408191357, 0.9194319654716036, -2.889378584667764, 0.24742317757809582, -0.008061410098489423, 1.7265182435298139, 0.28873084824636186, -0.03058236814508546, -1.8292417375906227, -3.5540386991677906, 0.03570296841763632, 0.9095926095027506, 4.239128598525191, 0.001965309051302158, -1.5345523671649477, 2.6808004554831584, -0.018345186260764607, 2.994434377443575, 0.09959457452034531, 0.009672368745270473, 3.1282134853849306, 0.8396531094761803, 0.001789241191787777, -2.452447734883564, -4.697628557101543, 0.5921909376403159, 1.3775947002247657, -4.561927248468399, -0.0321132072742499, 2.6450210667354312, -1.0613625776643056, -0.13217891372612822, 1.024269345434381, -4.822658022955473, 0.3808343290342192, 0.07618807827436291, -5.291710785683636, 0.00121070831509368, 2.743033639243817, -0.6005230777231019, -0.12231826970532877, 1.0035542024278856, 1.689039745524012, -0.04632898921663595, 0.01956625224743245]",428.7982189655304
6q_2l_4t_3ls_04.json,inst4_L3,MG_bench,4,10026,6,2,4,3,0.1,0.1,1,0.0,0,0,0,,,-1,0,,0.5,120,0,0,1.0,0.00707643,0.0084192,81,120,426.09176659584045,0.0006993540451491,-911.8528037121524,-1103.8538208223729,[],"[2.3186185158679984, -2.9935017939944415, 5.991200188215092, -0.03575739346882384, -0.827749669256458, 0.9407353222931657, 0.027675204468936676, -1.2068533444775724, -0.226305810380516, -0.1696910968905709, -1.2327667629295187, -1.9866763890194266, -1.4985774205942612, 4.996506825031428, 4.616714998051569, 0.04521589320954981, -0.7608073033970989, -0.5974244928066745, 1.4580400011868337, -0.4501543312186085, -1.5225142582354128, 4.008335869365921, -0.06429044882172293, 3.2430236536212718, -4.006016407964838, 0.006836960328617543, -3.900290919582347, 4.562853906283766, 0.45145795592710225, -2.996991890105689, 2.795888389113115, 0.05343198616774372, 0.7494259719319271, -3.6145647304673134, 1.6544015010151236, -5.561314935383754, 1.2147113395189146, -3.538003390650525, 1.457951798162302, 0.006928049045948026, -2.5704618644995496, 1.5650737014466847, 0.07815748825744098, 0.09020560087780345, 0.3018537031776553, -4.833897157379892, -0.12047485256234287, -1.7427130909204336, -4.534079241387259, 0.06339323867087271, -3.9847574619525696, 0.14388761571947542, 0.09541331017395364, 0.0041227997475205705, 0.2917395182931893, 0.0024052807720149347, -1.8258474819292836, 0.032679281463792904, -0.8713086806069688, 0.022122378869587893, 0.0376385037090429, 0.12634105482191182, -1.9915043564586177, 0.158997011992568, -0.7985205111368076, 2.509562794680039, 0.31403414412899344, 0.14149776114342955, -2.0892325409582595, 0.1070107134359108, 0.03165795671295459, -2.1436719678259575, 1.2764909709027104, 0.04069542331875079, 1.9456093151888378, -4.641994036187009, 0.03043076408195515, 2.0390742867029483, -3.523476289997444, -0.029889414669195282, 2.15565921747515, 1.3930455012451881, 0.026483710123637053, -1.719914316638554, -3.96835956509835, 0.007994908731154505, -4.016985776020802, -0.004648194421590314, 0.5405618860346121, 1.1301043682532237, 1.1125477328006421, 0.010379220577622493, 2.0451525890370466, -2.92080612257449, -0.3611887189939982, 4.414002474804228, -0.9306734538349721, 0.3684392743259106, 0.3002426856365478, -0.252668880062037, -0.003320359711181764, 1.8379948610144843, -3.761138636404623, 0.3042932925692827, 4.226023724955554, 2.5098794822645085, 0.1026330683011031, 0.03472685625630363]",426.09176659584045
6q_2l_4t_3ls_05.json,inst5_L3,MG_bench,5,10027,6,2,4,3,0.1,0.1,1,0.0,0,0,0,,,-1,0,,0.5,120,0,0,1.0,0.00657335,0.00749053,71,120,425.07640838623047,0.0006993540451491,-839.9170321045094,-971.064229588218,[],"[4.1111294013072675, 0.36832242061178244, 3.1396375494931257, -0.10674803498402839, -0.7646037543331139, -1.07664726860717, 0.003449830673294225, -1.1064919338251222, 1.0651249075288807, -2.290979524771013, -0.6253246056245602, 0.9130857485690378, 2.2476178109617964, -0.746413443325701, 0.8630297906009595, -0.587042699426473, -0.40310544195749193, -0.608326181111068, -1.610431741209764, -0.37740913645788504, 1.4717199835466468, -0.9014418433847593, 0.04410284865563432, -1.1512092975519708, 1.1346774432366236, -0.1610025328656648, 0.35961628074477353, 1.5844620770996023, 1.351466835543961, -0.05410711354930183, 1.6372349090373106, 0.416835979461758, 0.07326919777832036, -1.5213363191655938, -4.665050557012939, -5.599668038758486, 3.4055477798726046, -3.9087045486548186, 3.1412222983065714, -2.901027511999787, -1.0756532354763904, -1.999350928316508, 0.0017558066281748838, 0.03507278712010601, 0.22576170767457718, -1.2565092549156547, 0.092128937974336, 0.2686151223890917, -4.739659890639813, -0.0009177795082192606, 0.29684621850225384, 0.21088606401215243, 0.21523027843521175, 0.10698077046500874, 0.21844397567666007, 0.13359371087288094, -0.52683426165158, 0.2201014994511079, -0.7295823431168021, -0.03917861151846575, 0.2384719294793383, 0.003350559096415715, 3.9280205007187456, 0.307355561124784, 0.718931041606821, 1.1020488392413685, 0.12665237275417798, -0.019776168060352213, -3.0354630070385595, 0.024823573173927825, 0.004957682359481334, -2.884219180707243, -2.575600946418442, -0.018873560463607296, -3.542969902441886, -2.685287769756041, -0.011226044664726839, -2.3890308771821194, -1.6438514665076533, -0.032591101299854465, 4.158904501943653, 1.0846437729714813, 0.02286634062841672, 1.2529581645681451, -1.9612554543440415, 0.028859560109224913, 2.183518648128566, 0.08523688551434802, 0.5453418904251169, -0.8628078680117265, 3.6020752284112287, -0.018741831436016893, -0.13483941018754392, 2.7031714395483775, 0.47700300474002166, -0.026882847130738782, -1.1460227168191457, 0.30178683624465213, 0.034843159737779676, -2.9471479692423372, -0.019169440873621633, 0.028106491641168962, 3.6837507935896063, 0.4041067604266813, -0.04839967030846936, -0.6836225057546463, -0.02085117574912058, 0.21700166438286625]",425.07640838623047
