dataset,arch,instance_id,layer,window_size,step,sigma_eval,mse_train_noise,mse_train_recovered,delta_train_pct,mse_test_noise,mse_test_recovered,delta_test_pct,min_train_cost,timestamp,bundle_json
mackey_glass_tau30_n200,6q_2l_4t,1,1,6,2,0.2,0.0190671643001211,0.0150836507212927,20.892008460865043,0.0189579421529277,0.0122762834779558,35.244641117021594,0.0170875595161397,2025-09-16 13:45:50,qae_runs/mackey_glass_tau30_n200/6q_2l_4t/L1/bundle_inst01_L1.json
mackey_glass_tau30_n200,6q_2l_4t,2,1,6,2,0.2,0.0190671643001211,0.0150769032890693,20.927396167800417,0.0189579421529277,0.0122299526150202,35.48902873336657,0.0171169274413629,2025-09-16 13:57:11,qae_runs/mackey_glass_tau30_n200/6q_2l_4t/L1/bundle_inst02_L1.json
mackey_glass_tau30_n200,6q_2l_4t,3,1,6,2,0.2,0.0190671643001211,0.0150870956363971,20.87394119585335,0.0189579421529277,0.012287285902127,35.18660515466625,0.0171050215370111,2025-09-16 14:08:36,qae_runs/mackey_glass_tau30_n200/6q_2l_4t/L1/bundle_inst03_L1.json
mackey_glass_tau30_n200,6q_2l_4t,4,1,6,2,0.2,0.0190671643001211,0.0150919099763669,20.848691820046305,0.0189579421529277,0.0122585326563698,35.33827375627521,0.0171267686149891,2025-09-16 14:20:02,qae_runs/mackey_glass_tau30_n200/6q_2l_4t/L1/bundle_inst04_L1.json
mackey_glass_tau30_n200,6q_2l_4t,5,1,6,2,0.2,0.0190671643001211,0.0151000047607624,20.806237765169133,0.0189579421529277,0.0122984068142206,35.12794418817583,0.0171272982120718,2025-09-16 14:31:28,qae_runs/mackey_glass_tau30_n200/6q_2l_4t/L1/bundle_inst05_L1.json
mackey_glass_tau30_n200,6q_2l_4t,1,3,6,2,0.2,0.0190671643001211,0.0102545748669354,46.21866835819811,0.0189579421529277,0.0083831246882397,55.78040791233681,0.0099849439234048,2025-09-16 15:01:41,qae_runs/mackey_glass_tau30_n200/6q_2l_4t/L3/bundle_inst01_L3.json
mackey_glass_tau30_n200,6q_2l_4t,2,3,6,2,0.2,0.0190671643001211,0.0095038374088279,50.15599981604183,0.0189579421529277,0.0088827900347414,53.14475609701332,0.0097958050177912,2025-09-16 15:31:39,qae_runs/mackey_glass_tau30_n200/6q_2l_4t/L3/bundle_inst02_L3.json
mackey_glass_tau30_n200,6q_2l_4t,3,3,6,2,0.2,0.0190671643001211,0.009969635573096,47.713066210728215,0.0189579421529277,0.0082174614919361,56.65425379163808,0.0094285809097161,2025-09-16 16:01:58,qae_runs/mackey_glass_tau30_n200/6q_2l_4t/L3/bundle_inst03_L3.json
mackey_glass_tau30_n200,6q_2l_4t,4,3,6,2,0.2,0.0190671643001211,0.0098655558651202,48.258924558291405,0.0189579421529277,0.0081604945008311,56.95474521969197,0.0099403956253331,2025-09-16 16:31:56,qae_runs/mackey_glass_tau30_n200/6q_2l_4t/L3/bundle_inst04_L3.json
mackey_glass_tau30_n200,6q_2l_4t,5,3,6,2,0.2,0.019067164300121137,0.009710444469892908,49.07242462985849,0.01895794215292774,0.008240809097187858,56.5310990469754,0.009655645969629499,2025-09-16 17:01:52,qae_runs/mackey_glass_tau30_n200/6q_2l_4t/L3/bundle_inst05_L3.json
