"Date","Period","OperationalLessIndustrial","Industrial"
37257,1,3535.867064,1086.132936
37257,2,3383.499028,1088.500972
37257,3,3655.527552,1084.472448
37257,4,3510.446636,1085.553364
37257,5,3294.697156,1081.302844
37257,6,3111.845838,1086.154162
37257,7,2967.892586,1078.107414
37257,8,2847.645242,1078.354758
37257,9,2769.240062,1080.759938
37257,10,2728.49286,1081.50714
37257,11,2688.516606,1075.483394
37257,12,2697.334454,1076.665546
37257,13,2765.932788,1072.067212
37257,14,2808.799102,1073.200898
37257,15,2707.970464,1084.029536
37257,16,2749.80017,1086.19983
37257,17,2817.77094,1078.22906
37257,18,2880.38106,1077.61894
37257,19,2938.425884,1079.574116
37257,20,2999.91173,1078.08827
37257,21,3042.307434,1073.692566
37257,22,3062.617608,1075.382392
37257,23,3083.040352,1076.959648
37257,24,3064.28066,1079.71934
37257,25,3050.940382,1075.059618
37257,26,3028.767334,1081.232666
37257,27,3017.533044,1084.466956
37257,28,3004.483518,1079.516482
37257,29,2998.258214,1079.741786
37257,30,3015.238364,1078.761636
37257,31,3083.572706,1080.427294
37257,32,3137.844596,1074.155404
37257,33,3207.363614,1078.636386
37257,34,3283.306148,1082.693852
37257,35,3273.149734,1084.850266
37257,36,3253.862108,1080.137892
37257,37,3202.805156,1083.194844
37257,38,3198.039266,1081.960734
37257,39,3231.408602,1094.591398
37257,40,3278.49398,1097.50602
37257,41,3333.34311,1102.65689
37257,42,3295.496412,1098.503588
37257,43,3183.491102,1090.508898
37257,44,3072.274192,1097.725808
37257,45,3015.028614,1104.971386
37257,46,3000.72157,1109.27843
37257,47,3427.171146,1106.828854
37257,48,3436.701198,1109.298802
37258,1,3343.604854,1106.395146
37258,2,3235.615026,1102.384974
37258,3,3545.856956,1104.143044
37258,4,3444.969464,1105.030536
37258,5,3275.705636,1106.294364
37258,6,3107.209382,1104.790618
37258,7,2983.269096,1106.730904
37258,8,2913.659042,1104.340958
37258,9,2903.388074,1102.611926
37258,10,2950.549066,1099.450934
37258,11,3087.359348,1100.640652
37258,12,3257.47528,1098.52472
37258,13,3491.167838,1104.832162
37258,14,3645.58139,1140.41861
37258,15,3602.18643,1151.81357
37258,16,3748.842034,1111.157966
37258,17,3762.994036,1163.005964
37258,18,3877.969134,1104.030866
37258,19,3870.471966,1099.528034
37258,20,3869.243446,1154.756554
37258,21,3935.652936,1100.347064
37258,22,3887.479474,1156.520526
37258,23,3965.427802,1094.572198
37258,24,3897.412024,1150.587976
37258,25,3928.999646,1089.000354
37258,26,3871.134914,1140.865086
37258,27,3906.080072,1091.919928
37258,28,3837.169544,1148.830456
37258,29,3872.01927,1101.98073
37258,30,3826.18328,1163.81672
37258,31,3850.09651,1147.90349
37258,32,3899.331164,1146.668836
37258,33,3892.743192,1157.256808
37258,34,3948.986868,1111.013132
37258,35,3847.675596,1104.324404
37258,36,3732.561448,1107.438552
37258,37,3584.402686,1113.597314
37258,38,3441.90802,1160.09198
37258,39,3406.909338,1161.090662
37258,40,3463.409522,1174.590478
37258,41,3551.80775,1160.19225
37258,42,3584.5723,1101.4277
37258,43,3498.030948,1095.969052
37258,44,3353.994556,1096.005444
37258,45,3286.18189,1101.81811
37258,46,3179.591868,1166.408132
37258,47,3633.548438,1108.451562
37258,48,3638.506286,1137.493714
37259,1,3556.318368,1109.681632
37259,2,3392.13147,1159.86853
37259,3,3744.34363,1101.65637
37259,4,3597.313272,1150.686728
37259,5,3413.140228,1152.859772
37259,6,3256.917452,1157.082548
37259,7,3103.616568,1164.383432
37259,8,3033.436666,1158.563334
37259,9,2993.665924,1164.334076
37259,10,3120.775834,1111.224166
37259,11,3189.366234,1162.633766
37259,12,3348.39239,1163.60761
37259,13,3602.86869,1157.13131
37259,14,3834.10245,1119.89755
37259,15,3790.905306,1113.094694
37259,16,3873.05831,1102.94169
37259,17,3891.421732,1166.578268
37259,18,3959.77853,1112.22147
37259,19,3920.180596,1163.819404
37259,20,3929.518466,1134.481534
37259,21,3949.353158,1176.646842
37259,22,3932.100454,1173.899546
37259,23,3993.145364,1132.854636
37259,24,3922.278674,1167.721326
37259,25,3926.225774,1171.774226
37259,26,3900.078842,1173.921158
37259,27,3911.674812,1158.325188
37259,28,3933.477478,1116.522522
37259,29,3938.367446,1119.632554
37259,30,3885.16745,1164.83255
37259,31,3917.582082,1116.417918
37259,32,3936.950596,1127.049404
37259,33,3956.210756,1123.789244
37259,34,3945.383788,1132.616212
37259,35,3870.038126,1123.961874
37259,36,3743.912462,1128.087538
37259,37,3609.783412,1120.216588
37259,38,3525.29255,1122.70745
37259,39,3477.728362,1134.271638
37259,40,3491.199202,1182.800798
37259,41,3602.76772,1141.23228
37259,42,3542.916896,1181.083104
37259,43,3510.3282,1123.6718
37259,44,3347.643154,1138.356846
37259,45,3268.005712,1137.994288
37259,46,3227.231336,1138.768664
37259,47,3646.257572,1131.742428
37259,48,3661.667742,1132.332258
37260,1,3545.772982,1134.227018
37260,2,3385.576342,1200.423658
37260,3,3769.527138,1140.472862
37260,4,3651.335872,1140.664128
37260,5,3480.663114,1127.336886
37260,6,3279.387998,1132.612002
37260,7,3138.123618,1183.876382
37260,8,3109.603782,1136.396218
37260,9,3054.209194,1195.790806
37260,10,3086.223026,1195.776974
37260,11,3207.568168,1188.431832
37260,12,3387.268814,1148.731186
37260,13,3624.582986,1141.417014
37260,14,3840.84781,1143.15219
37260,15,3792.00649,1133.99351
37260,16,3825.6905,1152.3095
37260,17,3888.712846,1157.287154
37260,18,3923.297666,1136.702334
37260,19,3911.430868,1178.569132
37260,20,3954.967396,1193.032604
37260,21,3953.271544,1216.728456
37260,22,3989.273072,1214.726928
37260,23,4039.452912,1154.547088
37260,24,4019.264158,1160.735842
37260,25,4011.544446,1154.455554
37260,26,3973.462776,1192.537224
37260,27,4021.36643,1150.63357
37260,28,3955.999578,1212.000422
37260,29,3946.706012,1217.293988
37260,30,3957.237158,1208.762842
37260,31,3949.913708,1200.086292
37260,32,3994.528306,1207.471694
37260,33,4003.525342,1196.474658
37260,34,4023.765748,1156.234252
37260,35,3906.237568,1143.762432
37260,36,3783.059728,1144.940272
37260,37,3592.100926,1195.899074
37260,38,3490.64264,1197.35736
37260,39,3453.082754,1198.917246
37260,40,3489.115298,1198.884702
37260,41,3557.103714,1202.896286
37260,42,3494.826422,1189.173578
37260,43,3471.269236,1132.730764
37260,44,3312.522222,1203.477778
37260,45,3281.114152,1194.885848
37260,46,3264.074092,1195.925908
37260,47,3667.646766,1196.353234
37260,48,3730.22148,1123.77852
37261,1,3510.927692,1181.072308
37261,2,3474.93502,1127.06498
37261,3,3717.859294,1182.140706
37261,4,3659.579094,1114.420906
37261,5,3418.209738,1155.790262
37261,6,3229.393342,1176.606658
37261,7,3086.38572,1173.61428
37261,8,2990.53933,1175.46067
37261,9,3022.971906,1119.028094
37261,10,2956.587072,1173.412928
37261,11,2970.639358,1183.360642
37261,12,3022.606202,1211.393798
37261,13,3144.062578,1241.937422
37261,14,3312.873662,1205.126338
37261,15,3335.153836,1210.846164
37261,16,3402.302718,1207.697282
37261,17,3533.009836,1202.990164
37261,18,3527.608562,1246.391438
37261,19,3620.0713,1203.9287
37261,20,3610.86949,1257.13051
37261,21,3617.070618,1256.929382
37261,22,3673.522332,1212.477668
37261,23,3594.761046,1263.238954
37261,24,3594.516194,1251.483806
37261,25,3586.775776,1253.224224
37261,26,3551.504264,1254.495736
37261,27,3554.03469,1249.96531
37261,28,3528.975054,1233.024946
37261,29,3553.129444,1202.870556
37261,30,3582.055278,1203.944722
37261,31,3564.757278,1245.242722
37261,32,3652.636036,1205.363964
37261,33,3636.28175,1205.71825
37261,34,3636.644566,1213.355434
37261,35,3614.917106,1179.082894
37261,36,3511.820864,1180.179136
37261,37,3476.165818,1169.834182
37261,38,3486.439406,1123.560594
37261,39,3371.5155,1174.4845
37261,40,3423.460102,1180.539898
37261,41,3506.026652,1187.973348
37261,42,3562.43023,1147.56977
37261,43,3426.97157,1203.02843
37261,44,3383.621142,1144.378858
37261,45,3309.006632,1200.993368
37261,46,3317.390466,1150.609534
37261,47,3604.957854,1195.042146
37261,48,3553.607382,1196.392618
37262,1,3439.581022,1200.418978
37262,2,3283.403504,1198.596496
37262,3,3665.712524,1142.287476
37262,4,3474.878652,1201.121348
37262,5,3369.919728,1134.080272
37262,6,3192.102376,1145.897624
37262,7,3067.82917,1142.17083
37262,8,2908.19161,1201.80839
37262,9,2860.385858,1199.614142
37262,10,2828.082364,1195.917636
37262,11,2789.208604,1180.791396
37262,12,2877.078572,1128.921428
37262,13,2896.775868,1191.224132
37262,14,3066.908054,1143.091946
37262,15,3012.543216,1201.456784
37262,16,3109.832668,1184.167332
37262,17,3230.053902,1183.946098
37262,18,3317.466308,1188.533692
37262,19,3447.106728,1188.893272
37262,20,3526.81789,1137.18211
37262,21,3590.501758,1133.498242
37262,22,3677.138264,1160.861736
37262,23,3816.231704,1135.768296
37262,24,3817.657138,1158.342862
37262,25,3887.503172,1126.496828
37262,26,3896.365212,1117.634788
37262,27,3925.860652,1130.139348
37262,28,3957.61779,1126.38221
37262,29,3973.412474,1184.587526
37262,30,4051.098608,1174.901392
37262,31,4132.1106,1169.8894
37262,32,4254.550282,1119.449718
37262,33,4206.080348,1169.919652
37262,34,4251.376512,1178.623488
37262,35,4233.256962,1182.743038
37262,36,4210.468196,1129.531804
37262,37,4095.319654,1184.680346
37262,38,3987.041282,1180.958718
37262,39,3955.015052,1132.984948
37262,40,3964.390958,1123.609042
37262,41,3881.454708,1174.545292
37262,42,3830.019994,1129.980006
37262,43,3619.236124,1184.763876
37262,44,3506.055562,1195.944438
37262,45,3406.827728,1191.172272
37262,46,3358.746156,1203.253844
37262,47,3684.376938,1143.623062
37262,48,3605.85733,1148.14267
37263,1,3468.436338,1149.563662
37263,2,3339.572578,1138.427422
37263,3,3636.432736,1191.567264
37263,4,3572.852976,1153.147024
37263,5,3354.332042,1177.667958
37263,6,3181.4863,1198.5137
37263,7,3091.571678,1198.428322
37263,8,3020.810958,1203.189042
37263,9,3087.994972,1142.005028
37263,10,3077.887124,1194.112876
37263,11,3230.05454,1173.94546
37263,12,3465.24631,1130.75369
37263,13,3727.310444,1142.689556
37263,14,3969.621518,1126.378482
37263,15,3945.079516,1144.920484
37263,16,4043.63165,1148.36835
37263,17,4125.66666,1182.33334
37263,18,4226.065448,1183.934552
37263,19,4248.890542,1189.109458
37263,20,4281.678618,1198.321382
37263,21,4272.763872,1213.236128
37263,22,4285.110046,1202.889954
37263,23,4273.617836,1196.382164
37263,24,4279.760754,1200.239246
37263,25,4296.623726,1179.376274
37263,26,4389.99062,1150.00938
37263,27,4370.064532,1141.935468
37263,28,4335.08505,1148.91495
37263,29,4260.904122,1205.095878
