dataset,model,sigma,seed,window,stride,latent,n_params,epochs,elapsed_sec,test_r2,test_rmse,test_mae,delta_test_pct,mse_test_noisy,mse_test_recovered
beer,LSTM-AE,0.1,2023,6,2,4,2597,300,102.86,0.45477888263423494,0.13347400006956187,0.10015510122368318,-35.320829197794026,0.013165237606199818,0.0178153086945694
beer,LSTM-AE,0.1,2024,6,2,4,2597,300,135.39,0.43868310617948925,0.1354298502949917,0.09952539452845775,-39.315710810160724,0.013165237606199818,0.018341244350923862
beer,LSTM-AE,0.1,2025,6,2,4,2597,300,118.6,0.41630656660855103,0.13810288319248268,0.09959163190694824,-44.86944266843216,0.013165237606199818,0.019072406346076515
beer,LSTM-AE,0.1,2026,6,2,4,2597,300,137.54,0.43083721374179784,0.13637306145041586,0.09869738411952854,-41.26301739211187,0.013165237606199818,0.0185976118893589
beer,LSTM-AE,0.1,2027,6,2,4,2597,300,119.87,0.4319884396976398,0.13623507309286167,0.1024294645084392,-40.977289554402184,0.013165237606199818,0.018559995140617364
beer,LSTM-AE,0.2,2023,6,2,4,2597,300,105.32,0.26058368493497164,0.1554371612840818,0.1156752374430722,54.120252458117776,0.05266095042479927,0.024160711108053658
beer,LSTM-AE,0.2,2024,6,2,4,2597,300,100.36,0.28114059511310086,0.15326123515024404,0.1136147532751269,55.39577996542031,0.05266095042479927,0.023489006199778395
beer,LSTM-AE,0.2,2025,6,2,4,2597,300,109.62,0.282109609910139,0.1531579030621421,0.11387375022294678,55.45590597744717,0.05266095042479927,0.02345734327039252
beer,LSTM-AE,0.2,2026,6,2,4,2597,300,95.55,0.27425440919434774,0.15399355493129324,0.11489175424889592,54.96850176633017,0.05266095042479927,0.02371401496037723
beer,LSTM-AE,0.2,2027,6,2,4,2597,300,99.03,0.29115053942891367,0.1521904314926858,0.11414821544688093,56.01688300137022,0.05266095042479927,0.023161927437929886
beer,LSTM-AE,0.3,2023,6,2,4,2597,300,157.54,0.10359820967566447,0.17114400836343954,0.12879425806019082,75.27978818592888,0.11848713845579832,0.029290271598705068
beer,LSTM-AE,0.3,2024,6,2,4,2597,300,76.95,0.0910354630730994,0.17233909641275302,0.12853113290754475,74.9333433658337,0.11848713845579832,0.029700764152364185
beer,LSTM-AE,0.3,2025,6,2,4,2597,300,82.87,0.14361625895659447,0.16728020361492216,0.12566474775132025,76.38337216499768,0.11848713845579832,0.027982666521449814
beer,LSTM-AE,0.3,2026,6,2,4,2597,300,91.6,0.14391170132296294,0.16725134626976093,0.1262683056559555,76.3915196251593,0.11848713845579832,0.027973012829047475
beer,LSTM-AE,0.3,2027,6,2,4,2597,300,85.69,0.15533985063895617,0.16613125436231688,0.1242722747208409,76.70667547913408,0.11848713845579832,0.027599593675996827
