dataset,model,sigma,n_seeds,n_params,test_r2_mean,test_r2_std,test_rmse_mean,test_mae_mean,delta_test_pct_mean,delta_test_pct_std
beer,LSTM-AE,0.1,5,2597,0.4345,0.0125,0.1359,0.1001,-40.35,3.1
beer,LSTM-AE,0.2,5,2597,0.2778,0.0102,0.1536,0.1144,55.19,0.63
beer,LSTM-AE,0.3,5,2597,0.1275,0.0253,0.1688,0.1267,75.94,0.7
beer,MLP-AE,0.1,5,19238,0.6518,0.0478,0.1064,0.0786,13.57,11.86
beer,MLP-AE,0.2,5,19238,0.3132,0.0473,0.1497,0.1119,57.38,2.93
beer,MLP-AE,0.3,5,19238,0.1113,0.0328,0.1704,0.1282,75.49,0.91
beer,TinyMLP,0.1,5,142,0.4886,0.0481,0.1291,0.1003,-26.93,11.95
beer,TinyMLP,0.2,5,142,0.2693,0.0212,0.1545,0.117,54.66,1.31
beer,TinyMLP,0.3,5,142,0.0817,0.022,0.1732,0.1308,74.68,0.61
energy,LSTM-AE,0.1,5,2597,0.6219,0.0473,0.111,0.0897,5.98,11.75
energy,LSTM-AE,0.2,5,2597,0.0782,0.0643,0.1736,0.144,42.7,4.0
energy,LSTM-AE,0.3,5,2597,-0.5417,0.1246,0.2245,0.1924,57.4,3.44
energy,MLP-AE,0.1,5,19238,0.6555,0.094,0.1052,0.0838,14.34,23.36
energy,MLP-AE,0.2,5,19238,0.1751,0.1027,0.164,0.1328,48.72,6.38
energy,MLP-AE,0.3,5,19238,-0.436,0.1228,0.2166,0.1849,60.32,3.39
energy,TinyMLP,0.1,5,142,0.6131,0.059,0.1122,0.0891,3.8,14.67
energy,TinyMLP,0.2,5,142,0.0858,0.0541,0.1729,0.1431,43.17,3.37
energy,TinyMLP,0.3,5,142,-0.4557,0.0794,0.2182,0.1865,59.78,2.19
finance,LSTM-AE,0.1,5,2597,0.7724,0.0271,0.0596,0.0488,72.89,3.23
finance,LSTM-AE,0.2,5,2597,0.3742,0.1253,0.0986,0.0787,81.36,3.73
finance,LSTM-AE,0.3,5,2597,-0.1474,0.1183,0.134,0.1073,84.81,1.57
finance,MLP-AE,0.1,5,19238,0.7499,0.043,0.0624,0.0503,70.2,5.12
finance,MLP-AE,0.2,5,19238,0.3735,0.0735,0.099,0.077,81.34,2.19
finance,MLP-AE,0.3,5,19238,-0.3026,0.2902,0.1421,0.1143,82.76,3.84
finance,TinyMLP,0.1,5,142,0.7728,0.0282,0.0596,0.0496,72.94,3.36
finance,TinyMLP,0.2,5,142,0.4087,0.0508,0.0962,0.0798,82.39,1.51
finance,TinyMLP,0.3,5,142,-0.0947,0.1181,0.1308,0.1067,85.51,1.56
mackey_glass_tau17,LSTM-AE,0.1,5,2597,0.9299,0.003,0.0588,0.0463,71.33,1.22
mackey_glass_tau17,LSTM-AE,0.2,5,2597,0.8032,0.0118,0.0984,0.0751,79.87,1.21
mackey_glass_tau17,LSTM-AE,0.3,5,2597,0.6749,0.0124,0.1265,0.099,85.22,0.56
mackey_glass_tau17,MLP-AE,0.1,5,19238,0.9382,0.0113,0.055,0.0427,74.73,4.64
mackey_glass_tau17,MLP-AE,0.2,5,19238,0.8114,0.0107,0.0964,0.0739,80.71,1.1
mackey_glass_tau17,MLP-AE,0.3,5,19238,0.7034,0.0108,0.1209,0.0968,86.52,0.49
mackey_glass_tau17,TinyMLP,0.1,5,142,0.9145,0.0193,0.0645,0.0498,65.02,7.88
mackey_glass_tau17,TinyMLP,0.2,5,142,0.8031,0.0258,0.0983,0.0762,79.86,2.64
mackey_glass_tau17,TinyMLP,0.3,5,142,0.6913,0.0193,0.1233,0.0986,85.97,0.88
mackey_glass_tau30,LSTM-AE,0.1,5,2597,0.8893,0.0139,0.0779,0.0634,52.17,6.01
mackey_glass_tau30,LSTM-AE,0.2,5,2597,0.7508,0.0228,0.117,0.091,73.07,2.46
mackey_glass_tau30,LSTM-AE,0.3,5,2597,0.5615,0.0145,0.1553,0.1167,78.94,0.7
mackey_glass_tau30,MLP-AE,0.1,5,19238,0.9003,0.0114,0.074,0.0592,56.9,4.94
mackey_glass_tau30,MLP-AE,0.2,5,19238,0.7584,0.0229,0.1152,0.0896,73.89,2.48
mackey_glass_tau30,MLP-AE,0.3,5,19238,0.5573,0.0513,0.1558,0.1167,78.73,2.47
mackey_glass_tau30,TinyMLP,0.1,5,142,0.8919,0.0109,0.077,0.0618,53.27,4.73
mackey_glass_tau30,TinyMLP,0.2,5,142,0.7312,0.0124,0.1216,0.0932,70.95,1.34
mackey_glass_tau30,TinyMLP,0.3,5,142,0.5343,0.015,0.1601,0.122,77.63,0.72
