dataset,sigma,model,n_seeds,delta_test_mean,delta_test_sd,n_params
mackey_glass_tau17,0.1,LSTM-AE (tuned),5,72.2596,2.1102,2597
mackey_glass_tau17,0.1,LSTM-AE (untuned),5,71.329,1.2174,2597
mackey_glass_tau17,0.1,MLP-AE (tuned),5,79.1574,3.8553,19238
mackey_glass_tau17,0.1,MLP-AE (untuned),5,74.7288,4.6392,19238
mackey_glass_tau17,0.1,QAE,5,30.7036,12.81,144
mackey_glass_tau17,0.1,TinyMLP (tuned),5,71.1711,0.6076,142
mackey_glass_tau17,0.1,TinyMLP (untuned),5,65.018,7.8795,142
mackey_glass_tau17,0.2,LSTM-AE (tuned),5,78.1184,1.1987,2597
mackey_glass_tau17,0.2,LSTM-AE (untuned),5,79.8697,1.2069,2597
mackey_glass_tau17,0.2,MLP-AE (tuned),5,80.3165,2.1004,19238
mackey_glass_tau17,0.2,MLP-AE (untuned),5,80.7068,1.0992,19238
mackey_glass_tau17,0.2,QAE,5,68.9767,1.9179,144
mackey_glass_tau17,0.2,TinyMLP (tuned),5,80.7372,1.4438,142
mackey_glass_tau17,0.2,TinyMLP (untuned),5,79.8649,2.6433,142
mackey_glass_tau17,0.3,LSTM-AE (tuned),5,84.812,0.556,2597
mackey_glass_tau17,0.3,LSTM-AE (untuned),5,85.2242,0.5622,2597
mackey_glass_tau17,0.3,MLP-AE (tuned),5,85.6496,0.5509,19238
mackey_glass_tau17,0.3,MLP-AE (untuned),5,86.5181,0.4904,19238
mackey_glass_tau17,0.3,QAE,5,79.0014,0.907,144
mackey_glass_tau17,0.3,TinyMLP (tuned),5,85.3696,1.0726,142
mackey_glass_tau17,0.3,TinyMLP (untuned),5,85.9664,0.8752,142
mackey_glass_tau30,0.1,LSTM-AE (tuned),5,65.8299,2.9155,34949
mackey_glass_tau30,0.1,LSTM-AE (untuned),5,52.1652,6.0117,2597
mackey_glass_tau30,0.1,MLP-AE (tuned),5,65.0976,3.4836,19238
mackey_glass_tau30,0.1,MLP-AE (untuned),5,56.9037,4.9426,19238
mackey_glass_tau30,0.1,QAE,5,41.1302,6.8995,144
mackey_glass_tau30,0.1,TinyMLP (tuned),5,59.0674,2.4988,142
mackey_glass_tau30,0.1,TinyMLP (untuned),5,53.2741,4.7321,142
mackey_glass_tau30,0.2,LSTM-AE (tuned),5,73.9024,1.3228,34949
mackey_glass_tau30,0.2,LSTM-AE (untuned),5,73.067,2.4597,2597
mackey_glass_tau30,0.2,MLP-AE (tuned),5,74.7394,1.6779,19238
mackey_glass_tau30,0.2,MLP-AE (untuned),5,73.887,2.4756,19238
mackey_glass_tau30,0.2,QAE,5,65.2772,2.2413,144
mackey_glass_tau30,0.2,TinyMLP (tuned),5,72.6732,0.89,142
mackey_glass_tau30,0.2,TinyMLP (untuned),5,70.9463,1.3427,142
mackey_glass_tau30,0.3,LSTM-AE (tuned),5,79.5086,0.2985,34949
mackey_glass_tau30,0.3,LSTM-AE (untuned),5,78.9397,0.6976,2597
